epoch,train_loss,val_mse,val_loss_mask_mse,grad_norm_mean,grad_norm_max,clipped_batches,n_batches,clip_fraction,epoch_seconds,is_best
1,0.09450792809895106,0.08361193745930989,0.08347339851625504,0.13053700006143612,0.5874693393707275,0,55,0.0,1004.5896002079826,True
2,0.08379323250055314,0.08354636433919271,0.08336800852129536,0.04667433976534415,0.12917250394821167,0,55,0.0,1063.97678141715,True
3,0.08358340655054365,0.08273363240559896,0.08252535912298387,0.05645209400999275,0.18739259243011475,0,55,0.0,1048.5267530840356,True
4,0.0832044678245272,0.08335572814941407,0.0831206783171623,0.044232596998864955,0.13645556569099426,0,55,0.0,1037.5505252501462,False
5,0.082902752161026,0.08210356852213542,0.08179616423576108,0.04423315458592366,0.13013355433940887,0,55,0.0,1025.6269623748958,True
6,0.08231767827272415,0.0814790028889974,0.08111303415606098,0.05883234649557959,0.16455546021461487,0,55,0.0,1017.5849796668626,True
7,0.08156764073031289,0.08270189208984376,0.08234793878370716,0.04822373634458266,0.1929444819688797,0,55,0.0,1031.663034665864,False
8,0.08168680939504079,0.08115976359049479,0.08076573919480846,0.06933130704035813,0.15078029036521912,0,55,0.0,1029.774291333044,True
9,0.0813509240746498,0.08065738423665364,0.08017425930884577,0.0561064360324632,0.1447019875049591,0,55,0.0,1026.0965159169864,True
10,0.08136196235248021,0.0805546854654948,0.08009630264774445,0.06429896295409311,0.17179374396800995,0,55,0.0,1026.7624248750508,True
11,0.08080491528340748,0.08024994303385417,0.07972179289787046,0.052627409025180066,0.13828785717487335,0,55,0.0,1038.0153052080423,True
12,0.08075255986622401,0.08049818929036458,0.07986744345388105,0.06347581840712915,0.18970203399658203,0,55,0.0,1029.1793971657753,False
13,0.08019329851014273,0.07997983805338542,0.07939649520381804,0.06025075567039576,0.1721114218235016,0,55,0.0,1016.2667512090411,True
14,0.08006512983356204,0.07963873138427735,0.07899639991021926,0.06830955084243959,0.1808725893497467,0,55,0.0,1018.5476317920256,True
15,0.07976155547584807,0.0793959228515625,0.0786951402233493,0.06278063597326929,0.1501789540052414,0,55,0.0,1015.7218337911181,True
16,0.07952423561470849,0.08042585144042969,0.079714354484312,0.0625754728405313,0.19476766884326935,0,55,0.0,1024.0101296249777,False
17,0.07928144902842385,0.08343744099934895,0.08266306427986392,0.06274148314683274,0.20244751870632172,0,55,0.0,1027.0957466668915,False
18,0.07926502120494842,0.0792686513264974,0.07842862627583165,0.06528065859932791,0.19656482338905334,0,55,0.0,1024.6827942079399,True
19,0.0798916665656226,0.07931244201660156,0.07846785120810232,0.09231130763549697,0.2667211890220642,0,55,0.0,1024.4829531251453,False
20,0.07914885884523391,0.0791085459391276,0.07823503851121472,0.06600058398802172,0.26528581976890564,0,55,0.0,1028.6374034171458,True
21,0.07902684758390699,0.07906342366536458,0.07817944729712702,0.07025581307031892,0.19128406047821045,0,55,0.0,1024.6812224588357,True
22,0.07892122411727906,0.07903264872233073,0.07811456298828125,0.061188102191822094,0.21497471630573273,0,55,0.0,1027.8069056249224,True
23,0.07867247830969946,0.07897662251790365,0.07803733579574093,0.07115565744143995,0.18315306305885315,0,55,0.0,1025.3577466250863,True
24,0.07906652539116996,0.08018886311848958,0.07922190217048891,0.08532774739644744,0.296809583902359,0,55,0.0,1018.3292269580998,False
25,0.07868665763310023,0.07913170166015625,0.07814904194493448,0.07346344305710359,0.24083593487739563,0,55,0.0,1018.2195172081701,False
26,0.07826857253483363,0.07907607371012369,0.07806850113407258,0.06486024987799201,0.16589447855949402,0,55,0.0,998.5938496252056,False
27,0.07853889782939638,0.07983063303629558,0.07879246865549396,0.08033889019861817,0.2627354562282562,0,55,0.0,1016.8281922501046,False
28,0.078501944567476,0.07961958414713542,0.0785653548702117,0.07885838467627763,0.21289993822574615,0,55,0.0,1015.06517991703,False
29,0.07856549708332335,0.08075433909098308,0.07967189468876008,0.0795472560111772,0.2576797306537628,0,55,0.0,1003.6810987920035,False
30,0.07853802379540034,0.07857122243245443,0.07748011238344255,0.07543368375098164,0.29477164149284363,0,55,0.0,995.2300826669671,True
31,0.0780802976999964,0.07900903828938802,0.07789626878307712,0.0667820777151395,0.19419734179973602,0,55,0.0,993.2528434579726,False
32,0.07840754836797714,0.07908350524902344,0.07791249232138357,0.08468103713609955,0.25777310132980347,0,55,0.0,998.1024134580512,False
33,0.07845451872689384,0.08059644978841146,0.07943214071950605,0.08234761673110452,0.2346481829881668,0,55,0.0,994.8424113332294,False
34,0.07780707144737244,0.07887643432617188,0.07771270751953124,0.07612844780087472,0.1904996633529663,0,55,0.0,998.9270919999108,False
35,0.07796343601601465,0.07884960225423177,0.07766729539440524,0.0664235886525024,0.21469032764434814,0,55,0.0,995.2290350408293,False
36,0.07782938641309738,0.07836102956136068,0.0771560314547631,0.06688313794914971,0.2295750230550766,0,55,0.0,996.2809004997835,True
37,0.07763527569600515,0.07842789662679037,0.07720453717631678,0.06344468135556036,0.22067585587501526,0,55,0.0,1004.2966444580816,False
38,0.07751186559029988,0.0804934834798177,0.0792248279202369,0.07041447459804741,0.200638085603714,0,55,0.0,999.0713601249736,False
39,0.07794306964533669,0.0784114247639974,0.07715447308940272,0.08687106043269688,0.19887319207191467,0,55,0.0,991.2197959590703,False
40,0.07751531397444861,0.0784222890218099,0.07713387470860635,0.07295300999486988,0.25530070066452026,0,55,0.0,996.5843390829396,False
41,0.07762134626933506,0.07941794840494791,0.07807864281439011,0.07208088017492131,0.20084214210510254,0,55,0.0,999.0763631658629,False
42,0.07760865030118397,0.07872481587727864,0.07741687503937753,0.06797142970291051,0.19987836480140686,0,55,0.0,998.0431160840672,False
43,0.07784839365312031,0.07871518249511719,0.07737224948021673,0.08888090725310824,0.2776094973087311,0,55,0.0,1001.1448667501099,False
